Company,Sector,What They Do,Funding (approx.),Stage,Key Investors,Competitive Advantage
Tricog Health,AI Healthcare,"Cloud ECG AI, 140+ cardiac conditions, real-time triage",~$25M+,Series B,"Blume Ventures, UTEC, Dream Incubator",Connects rural clinics to virtual cardiologists; speed-to-diagnosis
HealthPlix,AI Healthcare,AI-powered EMR for doctors (point-of-care),~$44M,Series C,"Lightspeed, Chiratae",Embedded in physician workflow; prescription data network effects
Onsurity,Insurance,Monthly SME group health membership + wellness,~$66M,Series B,"Quona, Creaegis, Nexus, IFC",Owns under-served SME segment; 300K+ members
Plum,Insurance,Employee health benefits platform (+ Plum Health),~$98M,Series A+,"Tiger Global, Peak XV",HR-dashboard UX; expanding into diagnostics/teleconsult bundle
Loop Health,Insurance,Group insurance + primary-care layer,~$40M+,Series B,"General Catalyst, Khosla, Elevation",Bundles care delivery with coverage to lower claims
Acko,Insurance,Digital-native general + health insurer,~$450M+,Late-stage (Unicorn),Multiple,Own insurance license; embedded distribution; data-driven pricing
Medyseva,Rural Healthcare,Phygital 'Kendra' clinics + telemedicine for Tier 2/3 & rural,~$480K seed,Seed,"Unicorn India Ventures, AIC RNTU",100K+ consults; hybrid clinic model; ABDM-aligned
Karma Primary Healthcare,Rural Healthcare,Nurse-assisted remote consults + diagnostics in rural clinics,~$1.8M,Series A,"UBS Optimus Foundation, Ankur Capital, Grand Challenges Canada",Community-health-worker model; impact-capital backing
eSanjeevani,Rural Healthcare,National govt teleconsultation (Ayushman Bharat),Public infrastructure,Government,Govt of India (MoHFW),340M+ consults — the rails private players ride
Wysa,Mental Health,AI conversational agent + human-therapist backup,~$29M,Series B,"W Health Ventures, British International Investment, Google",Clinically validated; NHS/global enterprise + payer deployments
Amaha (InnerHour),Mental Health,Omnichannel clinical care — therapy + psychiatry + digital self-care,~$12M,Series A,Fireside Ventures,Clinician-founded credibility; hybrid model; 4.5M+ users
YourDOST,Mental Health,Emotional wellness + corporate EAP,Early-stage,Seed/Series A,"Fireside Ventures, others",Early-mover trust; B2B EAP revenue
LISSUN,Mental Health,Scalable mental + maternal/child emotional health,~Rs 28 Cr,Series A,"IPV, others",Offline centers + digital; underserved maternal niche
Nua,Women's Health,Menstrual care D2C + period tracker + content,~$24M,Series B,"Lightbox, Kae Capital",Brand + content community among urban women
Gynoveda,Women's Health,Ayurvedic PCOS/fertility platform + clinics,Growth-stage,Series A+,Multiple,Ayurveda-meets-tech positioning; offline fertility clinics
Veera Health,Women's Health,Digital therapeutics for PCOS,~$3M,Seed,"Sequoia (Peak XV), Nexus",Chronic-condition clinical depth vs. commerce-first peers
Proactive For Her,Women's Health,"Full-stack women's clinics (menstrual, sexual, fertility, postpartum)","~$5.5M (acq. by IVF Access, 2025)",Acquired,"Sequoia surge, others",Clinical breadth; consolidation signal into fertility platforms
Dozee,Hospital Infrastructure,Contactless AI remote patient monitoring (bedside sensors),~$33M,Series B,"Prime Venture Partners, 3one4, YourNest",No wearables; reduces nurse load; step-down/home monitoring
Pristyn Care,Hospital Infrastructure,Asset-light elective surgery network,~$180M+,Late-stage (Unicorn),"Peak XV, Tiger Global, Hummingbird",Aggregates surgeons + clinics without owning hospitals
HexaHealth,Hospital Infrastructure,Surgery-care discovery + management ecosystem,~$12M+,Series A,"Omidyar Network, 360 ONE",End-to-end elective surgery journey + insurance navigation
Cloudphysician,Hospital Infrastructure,Tele-ICU command centers for under-resourced hospitals,~$24M+,Series B,"Peak XV, Chiratae",Brings critical-care expertise to hospitals without intensivists
